id,date,name,year,is_national,created_at
688dc8c9-745b-4a7d-8bf2-24b68ea1cf5e,2028-04-16,Páscoa,2028,t,2026-01-05 18:07:07.110894+00
91e6cdb1-330c-4ea6-8db7-8bbfc121db2f,2028-04-25,Dia da Liberdade,2028,t,2026-01-05 18:07:07.110894+00
5043782d-cd06-464e-b28e-f73504d4b77d,2028-05-01,Dia do Trabalhador,2028,t,2026-01-05 18:07:07.110894+00
97b368f4-e3b7-4e49-840f-7d3d68920558,2028-06-10,Dia de Portugal,2028,t,2026-01-05 18:07:07.110894+00
a110e210-f8e1-4ab7-8da5-0d6e54a040a6,2028-06-15,Corpo de Deus,2028,t,2026-01-05 18:07:07.110894+00
9e015585-b65f-4904-b25c-85f39669cafd,2028-08-15,Assunção de Nossa Senhora,2028,t,2026-01-05 18:07:07.110894+00
28d87327-b9f4-4921-912b-809ea374b494,2028-10-05,Implantação da República,2028,t,2026-01-05 18:07:07.110894+00
bf736b7a-5df8-4c38-9d14-c81335fb62fb,2028-11-01,Dia de Todos os Santos,2028,t,2026-01-05 18:07:07.110894+00
64d4505d-dc5c-4512-bfc9-0552c2984d10,2028-12-01,Restauração da Independência,2028,t,2026-01-05 18:07:07.110894+00
3c19e0f1-459f-4e67-9bab-15cafa04d1d3,2028-12-08,Imaculada Conceição,2028,t,2026-01-05 18:07:07.110894+00
61bd91e2-3265-439c-baee-e5f33f73d052,2028-12-25,Natal,2028,t,2026-01-05 18:07:07.110894+00
