id,assignment_id,equipment_id,phone_id,has_charger,has_case,has_screen_protector,has_bag,has_mouse_pad,has_keyboard,has_mouse,has_pen,created_at
1ebe0cdd-4483-466d-ae79-ab4c49bb1360,5c3507a4-8b4c-49fe-b4d5-56ce3de28318,ad227b73-5e26-4f2a-b787-c58e194422a8,,f,f,f,f,f,f,f,f,2026-03-09 10:47:18.880581+00
892fe7fb-2673-462a-a3e6-cf6fde54a6cd,ff6a7a21-7d7c-408e-aaa3-a85d0792d949,4b2d72db-3a42-4f75-8ffd-0e8506bdd590,86136b4f-5df1-4ecf-9b19-2e316c67c3ba,f,f,f,f,f,f,f,f,2026-03-09 10:47:18.880581+00
2c2f6eea-799f-474e-8c80-4164205efaa9,ff6a7a21-7d7c-408e-aaa3-a85d0792d949,380b2002-b411-4a76-87ab-0b2c5baeb0b8,,f,f,f,f,f,f,f,f,2026-03-09 10:47:18.880581+00
32e8c081-c925-4ce8-9f60-0091f7d2d2b5,7c2d058b-a8d0-49f6-b9d4-697fbcfd5ba5,bdbbebb9-3272-4b00-b0dc-8708fde5e77c,34c22a7b-d300-4aeb-b0a0-fb2bc760a860,f,f,f,f,f,f,f,f,2026-03-09 10:47:18.880581+00
768d2bc1-f35b-47b0-9878-e57b7de7e4bd,998f1c70-ad05-4545-9b48-c5812cc385fb,c11bb396-e8aa-42a2-ac24-2609caad23c1,219fe2ad-9bf7-451e-a5a1-e931fce8243d,f,f,f,f,f,f,f,f,2026-03-09 10:47:18.880581+00
f5f944cb-601b-4049-80a4-ec0ae801a7f0,db96a01c-de0b-46c2-8eaf-fec621ab1d0e,2552b0c2-1029-4977-9c0a-a4c9472bb2da,,f,f,f,f,f,f,f,f,2026-03-09 10:47:18.880581+00
b25dc87f-b24a-46a4-b366-ceefdaf4e189,a16a1558-fdfd-4811-bf41-ecc6edd959b8,c4ec96e6-fc28-4f4e-8dfa-7eb248933ed9,,f,f,f,f,f,f,f,f,2026-03-09 10:47:18.880581+00
5b7e56b7-e050-4104-b629-529cbe42649a,5c3507a4-8b4c-49fe-b4d5-56ce3de28318,e67f2081-c9a2-4c1a-a8e5-928da69907d1,,f,f,f,f,f,f,f,f,2026-03-09 10:47:18.880581+00
08677748-4850-4af9-83d8-483f6a437a74,5c3507a4-8b4c-49fe-b4d5-56ce3de28318,4a1c8c41-13c9-4615-ad46-c1190b43e79f,,f,f,f,f,f,f,f,f,2026-03-09 10:47:18.880581+00
f35ebc48-7a64-4d48-a74e-443ed4d75030,9b6a40c6-2119-4b31-a351-04d5ef89c282,6de2f2a7-dfa6-466b-90c7-ca41dd76bc69,734d64c2-9f19-437b-8341-50f074bd4518,t,t,f,f,f,f,f,f,2026-03-09 10:50:17.758101+00
0dbcde93-38ff-4a2e-8d6a-70205019a688,9b6a40c6-2119-4b31-a351-04d5ef89c282,61a68009-9c86-4975-8620-5535077b392a,,t,f,f,t,f,t,t,f,2026-03-09 10:23:27.485644+00
3645507f-fed2-44e2-b8c0-cccfc3e821d8,662cac1d-1952-4bce-ae05-c070a5bdfcb4,6a0fefb0-c41b-4d26-bca5-c64193f81e93,3176a792-ef0d-498a-9d86-d4cceef97284,t,f,t,f,f,f,f,f,2026-03-16 09:11:06.769907+00
38f2acd7-8072-4049-ae75-8577a3ad3590,662cac1d-1952-4bce-ae05-c070a5bdfcb4,c2bc2fbb-c4e4-455f-8bc0-0f565f5aa1ad,,t,f,f,t,f,t,t,f,2026-03-13 17:39:45.467821+00
af15677d-68d3-4268-a214-66cd8fe1709b,e0138bdb-24b6-40f8-8a32-488b561a0e88,267ca251-6ae9-4beb-9df8-f5602c478e87,,t,f,f,t,f,f,f,f,2026-03-31 16:30:58.868297+00
