id,employee_id,company_id,status,assigned_date,return_date,keys_count,keys_locations,created_at,updated_at
5c3507a4-8b4c-49fe-b4d5-56ce3de28318,d6175915-6e48-42e0-a71a-93d780e01eff,2bf88623-96bc-41e8-bd11-9ee17696ffe1,active,2026-03-09,,,{},2026-03-09 10:47:18.880581+00,2026-03-09 10:47:18.880581+00
0e026c89-84dd-408e-92d8-2567a61f03e5,0fe14f44-40be-4279-8f07-565a3ea31882,2bf88623-96bc-41e8-bd11-9ee17696ffe1,active,2026-03-09,,,{},2026-03-09 10:47:18.880581+00,2026-03-09 10:47:18.880581+00
7c2d058b-a8d0-49f6-b9d4-697fbcfd5ba5,13627481-5dfc-4ee4-8552-34b9984e0672,2bf88623-96bc-41e8-bd11-9ee17696ffe1,active,2026-03-09,,,{},2026-03-09 10:47:18.880581+00,2026-03-09 10:47:18.880581+00
3c448d7f-895b-4ce9-8698-6b68abed09ce,6a88f542-71b2-49b9-bad8-f72b74130f9f,2bf88623-96bc-41e8-bd11-9ee17696ffe1,active,2026-03-09,,,{},2026-03-09 10:47:18.880581+00,2026-03-09 10:47:18.880581+00
ff6a7a21-7d7c-408e-aaa3-a85d0792d949,8161d3e9-498f-49c3-a102-07bccb200b86,2bf88623-96bc-41e8-bd11-9ee17696ffe1,active,2026-03-09,,,{},2026-03-09 10:47:18.880581+00,2026-03-09 10:47:18.880581+00
921fd8b4-51b0-4717-a268-20dc2651399f,9e87b845-f587-484c-bf76-226cf3e26db1,2bf88623-96bc-41e8-bd11-9ee17696ffe1,active,2026-03-09,,,{},2026-03-09 10:47:18.880581+00,2026-03-09 10:47:18.880581+00
970ae627-3e8f-4e20-a77a-322683f2c5e6,98a02004-7b58-4d76-859e-7960f401e5a0,2bf88623-96bc-41e8-bd11-9ee17696ffe1,active,2026-03-09,,,{},2026-03-09 10:47:18.880581+00,2026-03-09 10:47:18.880581+00
4ce3a9c1-c5ab-4e5a-90e9-5062cdd3fcfa,23a42216-9eae-45a4-bb89-d86d1e237a57,de2f8545-a966-445f-a05c-0c4cc355a32a,active,2026-03-09,,,{},2026-03-09 10:47:18.880581+00,2026-03-09 10:47:18.880581+00
eeb0f699-16df-431e-bf06-a59ce2def534,9d265883-14c9-4b76-983e-05d82236e1d2,2bf88623-96bc-41e8-bd11-9ee17696ffe1,active,2026-03-09,,,{},2026-03-09 10:47:18.880581+00,2026-03-09 10:47:18.880581+00
8e17f52e-a0fa-4387-b8ed-ee4528c2a64c,e2f886f9-b19c-48e7-b730-4e88478b2140,2bf88623-96bc-41e8-bd11-9ee17696ffe1,active,2026-03-09,,,{},2026-03-09 10:47:18.880581+00,2026-03-09 10:47:18.880581+00
db96a01c-de0b-46c2-8eaf-fec621ab1d0e,ac68f25b-9464-4e0a-87c6-f6492deaf3ff,2bf88623-96bc-41e8-bd11-9ee17696ffe1,active,2026-03-09,,,{},2026-03-09 10:47:18.880581+00,2026-03-09 10:47:18.880581+00
998f1c70-ad05-4545-9b48-c5812cc385fb,0a1bef2f-076c-490f-8364-ebc0b2593f67,2bf88623-96bc-41e8-bd11-9ee17696ffe1,active,2026-03-09,,,{},2026-03-09 10:47:18.880581+00,2026-03-09 10:47:18.880581+00
00f152f6-e7dc-4e25-b336-ff9c66f3ed96,d7dabcbb-7834-4751-b8b8-403eb254db28,402cafcd-ac21-4baa-8c35-ca9b67a50323,returned,2026-03-09,2026-03-09,,{},2026-03-09 10:47:18.880581+00,2026-03-09 10:49:50.670331+00
9b6a40c6-2119-4b31-a351-04d5ef89c282,7f4125b0-6e6c-4f2c-976e-9518ef2615b1,2bf88623-96bc-41e8-bd11-9ee17696ffe1,active,2026-03-09,,,{},2026-03-09 10:23:27.1556+00,2026-03-09 10:50:18.578311+00
a16a1558-fdfd-4811-bf41-ecc6edd959b8,511d2e78-2e8d-44af-a8ff-b80248db62a9,de2f8545-a966-445f-a05c-0c4cc355a32a,returned,2026-03-09,2026-03-09,,{},2026-03-09 10:47:18.880581+00,2026-03-09 10:55:53.376909+00
a073b637-5920-4753-ab19-8154dd5480bd,687d63b2-cab1-4e53-932e-a23b67f4401e,de2f8545-a966-445f-a05c-0c4cc355a32a,returned,2026-03-09,2026-03-09,,{},2026-03-09 10:47:18.880581+00,2026-03-09 10:56:40.189006+00
662cac1d-1952-4bce-ae05-c070a5bdfcb4,b683fccd-b959-463a-84c8-2435ec5cb207,2bf88623-96bc-41e8-bd11-9ee17696ffe1,active,2026-03-13,,,{},2026-03-13 17:39:45.319951+00,2026-03-16 09:11:07.738968+00
e0138bdb-24b6-40f8-8a32-488b561a0e88,253e193e-bbad-46fd-aaee-6be7239f1a7c,2bf88623-96bc-41e8-bd11-9ee17696ffe1,active,2026-03-31,,,{},2026-03-31 16:30:58.69542+00,2026-03-31 16:30:58.69542+00
